設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F06用)	チェック設問の解答(F08用)	F01:ラベル	F02:ラベル	F03:リンクボタン（ＵＲＬ）	F04:ラベル	F05:ラベル	F06:セレクトボックス	F07:ラベル	F08:テキストエリア
1	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/X/X1/evidence-0.html	筑波山の背後に低い太陽とポピー花畑がある	上記の内容はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
2	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/X/X2/evidence-8.html	朝霧が立ち込めている	上記の内容はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
3	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/X/X3/evidence-2.html	撮影場所は小貝川ふれあい公園である	上記の内容はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
4	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/X/X4/evidence-0.html	筑波山が写っている	上記の内容はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
5	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/X/X5/evidence-1.html	空がオレンジ色で地平線が赤みを帯びている	上記の内容はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
6	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/X/X7/evidence-0.html	撮影場所はフラワーパークである	上記の内容はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
7	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/R/X1/evidence-4.html	筑波山の背後に低い太陽とポピー花畑がある　なので　朝焼けの写真である。	上記の推論はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
8	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/R/X2/evidence-15.html	朝霧が立ち込めている　なので　朝焼けの写真である。	上記の推論はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
9	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/R/X3-X4/evidence-0.html	撮影場所は小貝川ふれあい公園である　かつ　筑波山が写っている　なので　朝焼けの写真である。	上記の推論はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
10	0			下記のチェックページを閲覧し、設問にお答えください。		https://nove0316.github.io/task-syuron-1203/add-CF/time/R/X5/evidence-2.html	空がオレンジ色で地平線が赤みを帯びている　なので　夕焼けの写真である。	上記の推論はどの程度正しいと思いますか？ 文章の内容のみを踏まえてお答えください。	絶対正しい@ほぼ確実に正しい@おそらく正しい@正しいかもしれない@分からない@間違っているかもしれない@おそらく間違っている@ほぼ確実に間違っている@絶対に間違っている	ご意見等あれば、こちらにご記入ください。	
